Frame_number,object_code,object_position_x,object_position_y,object_width,object_height
0,PD,115.3646240234375,132.98695373535156,126.16563415527344,177.88441467285156
1,PD,344.9977111816406,136.36656188964844,355.7143249511719,187.25611877441406
2,PD,92.96910858154297,288.2181701660156,112.47699737548828,373.1610412597656
3,PD,167.5355224609375,189.15943908691406,179.71771240234375,251.9568634033203
4,PD,120.74526977539062,257.5043029785156,142.71856689453125,336.5026550292969
5,PD,358.6728515625,151.58322143554688,371.00433349609375,225.39828491210938
6,PD,58.115840911865234,185.90480041503906,72.08869171142578,243.87217712402344
7,PD,145.5492401123047,231.83013916015625,168.89942932128906,296.5791015625
8,PD,1.0444488525390625,265.19854736328125,17.3629207611084,350.00897216796875
9,PD,71.06505584716797,151.0584259033203,81.8030014038086,208.57872009277344
10,PD,4.500462532043457,166.70132446289062,18.14501953125,237.52462768554688
11,PD,144.0614013671875,193.7212371826172,158.26577758789062,244.77528381347656
12,PD,320.5180358886719,119.58697509765625,328.0572814941406,160.38815307617188
13,PD,376.7125244140625,166.17538452148438,389.05908203125,225.36288452148438
14,PD,144.93106079101562,128.5799102783203,155.78890991210938,169.96006774902344
15,PD,135.0805206298828,292.0140075683594,158.74522399902344,367.0566711425781
16,PD,304.93524169921875,121.62837219238281,310.51934814453125,142.70848083496094
17,PD,183.8172607421875,76.10724639892578,190.54385375976562,94.7032241821289
18,PD,327.3616943359375,141.72445678710938,336.48992919921875,183.48641967773438
19,PD,374.0148620605469,110.57875061035156,382.3729553222656,139.02957153320312
20,PD,224.7592315673828,163.36618041992188,234.9772491455078,177.1842041015625
21,PD,358.30267333984375,134.71974182128906,368.3836669921875,177.15162658691406
22,PD,329.06072998046875,112.50724029541016,335.24652099609375,132.21319580078125
23,PD,410.5246887207031,159.09764099121094,415.7389221191406,232.04420471191406
24,PD,180.1623992919922,19.910259246826172,192.41261291503906,67.21499633789062
25,PD,374.79736328125,132.0025177001953,383.50457763671875,181.53062438964844
26,PD,184.03599548339844,68.09518432617188,189.7323455810547,85.3682861328125
27,PD,369.0638122558594,129.5941162109375,377.3861389160156,181.21527099609375
28,PD,406.38726806640625,109.87191772460938,415.224609375,139.47842407226562
29,PD,409.9949645996094,139.67160034179688,415.6591491699219,203.55535888671875
30,PD,229.37832641601562,161.65687561035156,240.61337280273438,178.11598205566406
31,PD,365.4450988769531,112.49175262451172,374.3550720214844,152.6967315673828
32,PD,366.45013427734375,111.55531311035156,373.28338623046875,133.3873291015625
33,PD,196.29209899902344,34.56144714355469,201.48805236816406,52.05377197265625
34,PD,378.63677978515625,156.65191650390625,398.8765869140625,221.55450439453125
35,PD,238.74365234375,158.56967163085938,249.06976318359375,175.16696166992188
36,PD,17.742937088012695,223.330078125,27.466169357299805,266.7947998046875
37,PD,292.54827880859375,90.54583740234375,297.87847900390625,108.40931701660156
38,PD,322.10272216796875,122.88917541503906,327.42230224609375,140.7168731689453
39,PD,183.1217498779297,61.438228607177734,190.89695739746094,94.28834533691406
40,PD,382.5765075683594,131.05572509765625,391.7301330566406,163.15753173828125
41,PD,329.93475341796875,83.63528442382812,337.52276611328125,115.71858215332031
42,PD,328.8787841796875,130.46983337402344,333.9700927734375,148.38096618652344
43,PD,328.1898498535156,111.03910064697266,334.9803161621094,149.64683532714844
44,PD,143.46377563476562,224.9885711669922,153.12619018554688,265.5245056152344
45,PD,194.79571533203125,40.281227111816406,199.65493774414062,61.64165496826172
46,PD,390.98199462890625,128.556396484375,400.0753173828125,163.98355102539062
47,BK,142.30209350585938,253.3030242919922,168.0189208984375,307.4814147949219
48,BK,148.36256408691406,263.9746398925781,163.95018005371094,304.2662048339844
49,BK,135.45004272460938,303.6177673339844,158.64935302734375,384.3241882324219
50,BK,144.75192260742188,137.99777221679688,155.26287841796875,174.06454467773438
51,BK,168.40521240234375,221.92103576660156,177.594482421875,252.8513641357422
52,BK,94.45065307617188,340.84564208984375,106.22438049316406,388.61895751953125
53,BK,124.50044250488281,302.26580810546875,136.57484436035156,345.81573486328125
54,BK,184.63088989257812,83.18806457519531,190.44888305664062,95.930419921875
55,BK,140.2886199951172,333.1461486816406,154.00547790527344,379.5298767089844
56,BK,122.16902923583984,276.42596435546875,145.53549194335938,346.3143310546875
57,BK,146.58421325683594,151.79827880859375,152.84043884277344,174.18344116210938
58,BK,129.87625122070312,293.06951904296875,152.44708251953125,363.47491455078125
59,BK,95.00313568115234,329.0249938964844,112.00884246826172,395.8709411621094
60,BK,170.97793579101562,225.49758911132812,175.51617431640625,249.79733276367188
61,LV,267.3826904296875,135.50491333007812,296.49365234375,178.24813842773438
62,LV,212.84347534179688,88.61776733398438,237.03436279296875,121.72666931152344
63,LV,249.6973419189453,76.63795471191406,271.39306640625,106.78619384765625
64,LV,259.1228942871094,105.55154418945312,280.9964904785156,139.9133758544922
65,LV,245.82810974121094,43.47102737426758,261.0841064453125,66.36531066894531
66,LV,213.13014221191406,66.28765106201172,231.6686553955078,88.89197540283203
67,LV,214.12237548828125,34.06828308105469,231.61846923828125,53.27142333984375
68,LV,250.5421142578125,61.5194206237793,266.9166259765625,77.47571563720703
69,LV,215.43450927734375,20.544572830200195,228.38882446289062,33.50191879272461
70,LV,229.8460693359375,0.782172679901123,242.73553466796875,11.699850082397461
71,LV,259.10858154296875,118.66885375976562,278.18048095703125,145.76303100585938
72,LV,214.45724487304688,31.114013671875,228.19271850585938,42.42450714111328
73,LV,216.35336303710938,17.622356414794922,228.2362060546875,27.47785186767578
74,LV,214.21673583984375,57.00959777832031,231.66162109375,79.09959411621094
75,LV,215.2227020263672,53.64971923828125,230.2082977294922,66.362060546875
76,LV,246.28433227539062,59.2608757019043,255.48715209960938,71.5932388305664
77,LV,231.55740356445312,3.2641210556030273,241.64813232421875,15.33474063873291
78,LV,245.23985290527344,52.306617736816406,258.07763671875,69.91191864013672
79,LV,213.66677856445312,24.646530151367188,229.80877685546875,47.12052917480469
80,LV,213.80348205566406,17.03437042236328,229.83497619628906,39.557228088378906
81,BS,217.32070922851562,122.69084167480469,259.5046081542969,222.81300354003906
82,TR,218.58497619628906,135.77243041992188,259.4129333496094,229.26962280273438
